id,rate,mean,sdevi,sdevc,exp
2848794,1.24E-05,4190981448,24025703.06,1184841480,18529282670
2849767,3.09E-06,3779231448,20972498.04,1013353697,18464376214
2868768,1.50E-07,3342648993,23244482,1149560862,18667310700
2871434,4.02E-07,2425891857,21319544.28,488856700.5,18195666868
2874509,2.84E-05,2182516899,16935347.79,769878881.8,18064462043
2863734,6.35E-06,1995510344,17889668.66,798194223,18181463865
2869213,2.87E-07,1969259346,16594105.53,809367499,17964439161
2862970,2.77E-07,1910851676,16415555.31,804080883.6,17990873511
2860055,1.95E-05,1817107053,16143607.5,756463291,18025065318
2860457,6.20E-07,1730054266,15333301.41,296289583.5,18340721348
2874359,1.56E-05,1670043408,15076364.55,670531693.8,18045493563
2874709,2.77E-07,1531359190,14578942.76,693767720.8,17953694342
2854775,3.86E-05,1409292365,17000004.85,347850468.9,18657046992
2855790,2.28E-06,1396634507,13627117.28,631550328.1,18077359762
2853178,1.72E-06,1390110910,14478250.58,668848580.8,18110809505
2862870,2.56E-06,1362590155,14530529.91,336229050.7,18315183451
2860748,3.88E-06,1346261530,13406773.36,615034327.6,18013151328
2856067,3.18E-05,1263617434,12692691.31,607632597.8,17965917414
2852737,2.89E-07,1260275706,12997441.75,563252532.3,17910753263
2855099,2.24E-06,1226666139,12376921.65,573732107.6,17981192319
2864230,9.02E-07,1225489019,13161565.85,569564803.4,18181714301
2861730,3.87E-06,1207258501,12360767.54,562481011.3,18038170880
2864871,3.82E-06,1201849504,13633531.87,307981150.7,18386026994
2878137,1.01E-05,1193483353,13921012.07,330805246.2,18159611025
2854552,2.13E-05,1172587289,13608360.05,315408035.9,18264741395
2875398,9.34E-06,1163798113,13465913.18,305926410.6,18378488431
2877289,1.84E-05,1161451935,13518177.34,334150608.2,17952117200
2860627,1.72E-06,1152911857,11904512.98,561615877.6,17914697347
2869517,4.00E-05,1130889348,13659333.99,335062797.2,18005044494
2856884,9.43E-05,1120801937,11726790.24,556246266.2,18014632746
2877215,2.24E-06,1115614626,13847901.16,335210228.9,18000602795
2860315,2.44E-06,1099082432,11506859.91,539254696.4,18082518253
2852653,4.97E-07,1092473236,11744593.1,555100443.2,18080711935
2876821,5.63E-07,1077910926,12353406.52,451566979.2,18188499414
2867850,4.96E-05,1073333363,13097280.38,323097418.1,17985063080
2867056,3.34E-05,1066667606,12692184.41,314278632.3,18167043541
2850793,6.52E-06,1060577627,13059755.66,318951598.1,18111281195
2867465,8.39E-06,1057006635,11526587.41,496417158,18176680759
2854346,1.29E-05,1055129303,11840677.86,534419692.2,18018078138
2870736,4.37E-06,1051591881,13071352.88,321396704,18000755709
2865369,5.38E-06,1047127126,11960809.45,521253311.8,17896387478
2862852,5.22E-06,1032534479,11287854.57,525063871.1,18075229753
2858320,9.42E-07,1015125523,12387442.69,227499224.2,18053225589
2851447,3.62E-05,998507159.5,11643312.83,503762264.2,18563972008
2856122,3.62E-05,990756296.7,12569640.81,312235408.6,17986489986
2876689,2.25E-07,976677722.1,10569735.14,499198016.8,18145981468
2849779,4.44E-06,966442886,11710820.81,178999932,19944271697
2868732,2.86E-06,956899849.3,10926925.32,528578306.6,17969221471
2860798,1.63E-05,950638377.5,13405699.81,242117333.5,15480238056
2862782,3.03E-06,948656932.4,10478647.13,478908399.8,18214897233
2855204,6.30E-07,924454537.5,11615468.76,285643133.6,18225631131
2857230,6.65E-07,918301766.9,11773625.17,294757539.7,18014628328
2856453,9.05E-07,909056793.6,11678433.9,280074980.3,18421676405
2863323,8.29E-08,908051792,11546646.54,210836253.5,19970332418
2869232,1.33E-06,904334314.1,12156397.16,282097149.4,18274626202
2868396,6.57E-06,900533968.3,10075909.34,467962095.9,18216857948
2874041,4.87E-06,879239235.7,11408338.39,281286169.6,18266141021
2861235,5.00E-07,872029590.5,10397425.34,435705171.6,18341810896
2852219,2.83E-06,869054914.2,10346237.24,467848994.7,18207833102
2857552,9.17E-06,868000633.9,11594343.32,285982774.4,18185899667
2857207,2.87E-05,862187511,11376474.2,268775509.2,18414336035
2877164,4.70E-05,842028123.9,11152581.3,274239236.3,18128327854
2855294,1.02E-05,834806885.2,10041523.86,426795928.9,18330542309
2870243,1.84E-05,834130353.7,11054425.05,274399301.5,18252081822
2856323,3.81E-05,823921311.6,11706095.51,259338441.7,18724067848
2867184,3.92E-06,810732816.5,10892251.68,260577382.2,18377992164
2851856,1.88E-07,807734894.4,11286543.67,261146243.6,18255123918
2852701,1.46E-05,807172607.3,11303375.16,258143729.8,18778471205
2874899,1.82E-07,793864020.4,11065918.96,202139358.4,19812035441
2868289,2.60E-05,793814596.3,10890369.41,261334115,18364266911
2874497,7.74E-07,792343165.6,10801779.81,269882561.8,18131084836
2870619,3.17E-05,779551426,10813438.1,262779253.6,18233913043
2855774,8.63E-08,776496937.8,10673831.46,240251334.9,18425815435
2872425,2.49E-06,772674001.1,9329515.78,406110103.2,18314627005
2863822,2.61E-06,770603578.7,10962885.34,257204530.8,18489745836
2875671,5.34E-06,762656263.5,10315289.07,366411271.1,18079536226
2866584,1.56E-05,761120582.3,10865609.12,250640344.5,18574049080
2872402,6.36E-06,750064153.3,9238235.22,423405333.5,18288935419
2860599,2.41E-05,748747165.7,11136654.7,236956739.6,18707686291
